NO2 AQI,O3 AQI,SO2 AQI,CO AQI,AQI,FIPS,COUNTY,State_y
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01047,Dallas,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01049,De Kalb,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01051,Elmore,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01053,Escambia,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01055,Etowah,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01057,Fayette,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01059,Franklin,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01061,Geneva,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01063,Greene,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01065,Hale,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01067,Henry,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01069,Houston,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01071,Jackson,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01073,Jefferson,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01075,Lamar,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01077,Lauderdale,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01079,Lawrence,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01081,Lee,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01083,Limestone,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01085,Lowndes,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01087,Macon,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01089,Madison,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01091,Marengo,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01093,Marion,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01095,Marshall,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01097,Mobile,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01099,Monroe,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01101,Montgomery,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01103,Morgan,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01105,Perry,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01107,Pickens,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01109,Pike,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01111,Randolph,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01113,Russell,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01115,St Clair,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01117,Shelby,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01119,Sumter,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01121,Talladega,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01123,Tallapoosa,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01125,Tuscaloosa,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01127,Walker,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01129,Washington,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01131,Wilcox,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,01133,Winston,AL
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02013,Aleutians East,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02016,Aleutians West,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02020,Anchorage,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02050,Bethel,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02060,Bristol Bay,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02068,Denali,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02070,Dillingham,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02090,Fairbanks North Star,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02100,Haines,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02110,Juneau,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02122,Kenai Peninsula,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02130,Ketchikan Gateway,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02150,Kodiak Island,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02164,Lake and Peninsula,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02170,Matanuska-Susitna,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02180,Nome,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02185,North Slope,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02188,Northwest Arctic,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02201,Prince of Wales-Outer Ketchikan,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02220,Sitka,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02232,Skagway-Hoonah-Angoon,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02240,Southeast Fairbanks,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02261,Valdez-Cordova,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02270,Wade Hampton,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02280,Wrangell-Petersburg,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02282,Yakutat,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,02290,Yukon-Koyukuk,AK
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04001,Apache,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04003,Cochise,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04005,Coconino,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04007,Gila,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04009,Graham,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04011,Greenlee,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04012,La Paz,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04015,Mohave,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04017,Navajo,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04021,Pinal,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04023,Santa Cruz,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04025,Yavapai,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,04027,Yuma,AZ
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05001,Arkansas,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05003,Ashley,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05005,Baxter,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05007,Benton,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05009,Boone,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05011,Bradley,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05013,Calhoun,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05015,Carroll,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05017,Chicot,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05019,Clark,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05021,Clay,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05023,Cleburne,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05025,Cleveland,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05027,Columbia,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05029,Conway,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05031,Craighead,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05033,Crawford,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05035,Crittenden,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05037,Cross,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05039,Dallas,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05041,Desha,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05043,Drew,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05045,Faulkner,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05047,Franklin,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05049,Fulton,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05051,Garland,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05053,Grant,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05055,Greene,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05057,Hempstead,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05059,Hot Spring,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05061,Howard,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05063,Independence,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05065,Izard,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05067,Jackson,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05069,Jefferson,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05071,Johnson,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05073,Lafayette,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05075,Lawrence,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05077,Lee,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05079,Lincoln,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05081,Little River,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05083,Logan,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05085,Lonoke,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05087,Madison,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05089,Marion,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05091,Miller,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05093,Mississippi,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05095,Monroe,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05097,Montgomery,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05099,Nevada,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05101,Newton,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05103,Ouachita,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05105,Perry,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05107,Phillips,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05109,Pike,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05111,Poinsett,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05113,Polk,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05115,Pope,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05117,Prairie,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05119,Pulaski,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05121,Randolph,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05123,St Francis,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05125,Saline,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05127,Scott,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05129,Searcy,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05131,Sebastian,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05133,Sevier,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05135,Sharp,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05137,Stone,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05139,Union,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05141,Van Buren,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05143,Washington,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05145,White,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05147,Woodruff,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,05149,Yell,AR
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06003,Alpine,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06005,Amador,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06007,Butte,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06009,Calaveras,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06011,Colusa,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06015,Del Norte,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06017,El Dorado,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06021,Glenn,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06023,Humboldt,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06027,Inyo,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06029,Kern,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06031,Kings,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06033,Lake,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06035,Lassen,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06039,Madera,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06041,Marin,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06043,Mariposa,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06045,Mendocino,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06047,Merced,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06049,Modoc,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06051,Mono,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06053,Monterey,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06055,Napa,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06057,Nevada,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06059,Orange,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06061,Placer,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06063,Plumas,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06069,San Benito,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06075,San Francisco,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06077,San Joaquin,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06079,San Luis Obispo,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06081,San Mateo,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06087,Santa Cruz,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06089,Shasta,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06091,Sierra,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06093,Siskiyou,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06097,Sonoma,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06099,Stanislaus,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06101,Sutter,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06103,Tehama,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06105,Trinity,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06107,Tulare,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06109,Tuolumne,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06111,Ventura,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06113,Yolo,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,06115,Yuba,CA
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08001,Adams,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08003,Alamosa,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08005,Arapahoe,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08007,Archuleta,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08009,Baca,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08011,Bent,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08013,Boulder,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08015,Chaffee,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08017,Cheyenne,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08019,Clear Creek,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08021,Conejos,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08023,Costilla,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08025,Crowley,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08027,Custer,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08029,Delta,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08031,Denver,CO
54.78125,108.8955223880597,36.83582089552239,16.17910447761194,110.01492537313433,08033,Dolores,CO
